Date,Symbols,Close,High,Low,Open,Volume
2023-01-03,AMZN,85.82,86.96,84.205,85.46,76706040.0
2023-01-03,GOOGL,88.798,90.7211,88.2002,89.2614,28233202.0
2023-01-03,PFE,51.26,51.325,50.82,51.01,15603793.0
2023-01-03,MRNA,178.99,184.39,178.23,180.85,4027934.0
2023-01-03,BNTX,148.65,155.295,148.5,152.94,739013.0
2023-01-04,AMZN,85.14,86.98,83.36,86.55,68885123.0
2023-01-04,GOOGL,87.7618,90.3226,86.9558,90.0236,34981128.0
2023-01-04,PFE,50.13,50.63,49.522,50.29,21808425.0
2023-01-04,MRNA,177.36,183.61,175.63,182.42,2840936.0
2023-01-04,BNTX,146.13,150.575,145.755,149.97,938885.0
2023-01-05,AMZN,83.12,85.42,83.07,85.33,67930825.0
2023-01-05,GOOGL,85.8887,87.2537,85.5897,87.154,27292957.0
2023-01-05,PFE,49.66,49.99,48.92,49.73,20057412.0
2023-01-05,MRNA,173.51,175.5135,171.6,174.8,3050587.0
2023-01-05,BNTX,145.67,146.4,143.6,145.1,856607.0
2023-01-06,AMZN,86.08,86.4,81.43,83.03,83303361.0
2023-01-06,GOOGL,87.0246,87.3733,84.5535,86.4765,41531507.0
2023-01-06,PFE,50.92,51.6,49.56,49.98,29635946.0
2023-01-06,MRNA,180.35,181.7399,171.4,174.96,3575006.0
2023-01-06,BNTX,150.09,156.275,145.23,148.5,1068059.0
2023-01-09,AMZN,87.36,89.48,87.08,87.46,65266056.0
2023-01-09,GOOGL,87.7021,89.7248,87.5427,88.0408,29109043.0
2023-01-09,PFE,48.39,50.26,48.31,50.05,30839126.0
2023-01-09,MRNA,183.95,188.36,177.27,181.8,4344021.0
2023-01-09,BNTX,148.76,153.2,148.5671,152.22,567980.0
2023-01-10,AMZN,89.87,90.185,87.29,87.57,67756601.0
2023-01-10,GOOGL,88.1006,88.3496,85.52,85.6694,30578203.0
2023-01-10,PFE,47.62,48.47,47.38,48.35,29212004.0
2023-01-10,MRNA,189.65,189.81,181.5025,182.7,2457901.0
2023-01-10,BNTX,153.67,154.24,149.31,150.03,678381.0
2023-01-11,AMZN,95.09,95.26,90.93,90.93,103126183.0
2023-01-11,GOOGL,91.1895,91.2692,88.6886,88.858,26959346.0
2023-01-11,PFE,47.45,47.74,46.86,47.7,23022229.0
2023-01-11,MRNA,186.64,189.65,182.6682,188.57,3152749.0
2023-01-11,BNTX,149.61,153.99,146.775,153.62,750151.0
2023-01-12,AMZN,95.27,97.19,93.5,96.93,85254781.0
2023-01-12,GOOGL,90.8008,91.5382,89.4258,91.1495,30367823.0
2023-01-12,PFE,47.71,47.72,46.58,47.27,23345252.0
2023-01-12,MRNA,188.06,189.29,179.15,186.54,3881563.0
2023-01-12,BNTX,149.41,149.92,146.25,149.35,416363.0
2023-01-13,AMZN,98.12,98.37,94.12,94.18,85549432.0
2023-01-13,GOOGL,91.7873,91.857,89.8044,90.5219,26424658.0
2023-01-13,PFE,47.85,48.16,47.49,47.5,18737546.0
2023-01-13,MRNA,192.0,192.12,185.05,185.08,3230239.0
2023-01-13,BNTX,145.05,150.635,142.09,149.5,1287144.0
2023-01-17,AMZN,96.05,98.89,95.73,98.68,72755001.0
2023-01-17,GOOGL,90.9603,91.9168,89.7248,91.7275,32720610.0
2023-01-17,PFE,46.08,46.74,45.71,46.54,29391409.0
2023-01-17,MRNA,190.69,194.63,187.64,187.895,3722084.0
2023-01-17,BNTX,143.2,145.5,140.91,145.0,1160267.0
2023-01-18,AMZN,95.46,99.32,95.38,97.25,79570370.0
2023-01-18,GOOGL,90.7908,92.4647,90.3126,91.8072,29222241.0
2023-01-18,PFE,45.0,45.85,44.97,45.545,33834985.0
2023-01-18,MRNA,197.02,207.51,195.02,200.322,11058942.0
2023-01-18,BNTX,143.09,147.68,142.82,145.83,725004.0
2023-01-19,AMZN,93.68,95.44,92.86,94.74,69002663.0
2023-01-19,GOOGL,92.7138,93.2669,90.3026,90.3923,37134525.0
2023-01-19,PFE,44.96,45.27,44.64,44.72,26614860.0
2023-01-19,MRNA,190.38,197.31,190.32,196.21,4273936.0
2023-01-19,BNTX,139.94,144.1082,139.66,143.0,1040429.0
2023-01-20,AMZN,97.25,97.354,93.2025,93.86,67481539.0
2023-01-20,GOOGL,97.666,97.9449,94.6768,94.7565,63420152.0
